Node,Rank,PageRank,num_followers,verified_followers,following,total_tweets,total_retweets,total_commenters,total_reposters
Zed18978371,187,2.664185359857772e-05,1443,18,18,1,5,2,67
Wo_Bitcoin,188,2.662881876004128e-05,5379,19,17,5,5,10,7
DeFi_Made_Here,190,2.6555139279731312e-05,43500,20,19,5,5,49,33
DeFiMole_,191,2.646444239498073e-05,9233,20,20,3,5,1,120
AltCryptoGems,192,2.6458472759429054e-05,442300,20,18,5,3,75,59
cryptopitbull9,194,2.6417412175748408e-05,160700,19,21,5,1,23,13
Bitcoinbeach,196,2.623388234847265e-05,84300,20,19,5,5,22,60
FishFishDeFi,197,2.6211281715504074e-05,834,20,20,2,5,4,84
TheBitcoinShow_,199,2.613193487519832e-05,2781,20,18,5,5,8,44
AapsiK,200,2.612162709435015e-05,876,19,17,5,4,2,62
goku_nft,201,2.612115981837731e-05,19600,20,20,5,5,30,64
AusDeFi,202,2.607526731529495e-05,4745,20,19,5,2,0,30
Crypto_Joe10,203,2.5972292612224555e-05,25100,20,21,5,5,10,158
DilanDeFi,205,2.5930455025479543e-05,2069,20,19,4,5,92,76
iftikharpost,206,2.5911333942489824e-05,17200,20,19,5,2,16,36
InterlayHQ,207,2.58912478121382e-05,30500,20,19,5,5,23,34
marvellousdefi_,211,2.5822434659143924e-05,13100,19,18,5,3,76,33
CryptoNoan,212,2.580859404643089e-05,58400,20,20,5,2,70,2
MantaNFT,213,2.5807351361613045e-05,41800,20,19,5,5,9,28
DefaultBitcoin,214,2.579256339804427e-05,737,19,20,1,5,2,174
EvgenyInnovates,215,2.5788092569309563e-05,88,18,21,5,5,0,96
defiprincess_,216,2.5755970032281578e-05,133200,20,19,5,3,59,24
TowshiVentures,217,2.572098681740205e-05,3229,19,18,5,3,3,94
BB_Defi,218,2.5701162836203187e-05,3385,20,19,5,5,27,70
greenie_guy,219,2.5666166453543577e-05,870,19,19,5,5,0,85
Thecryptolord_,220,2.565704263465032e-05,283100,20,19,5,4,193,95
CryptoSapiens_,221,2.56293214767566e-05,2700,20,19,4,5,3,3
BlockChainMac,222,2.560959273892977e-05,11000,20,19,5,5,5,129
girlgone_crypto,223,2.5582733447932065e-05,232600,7,19,5,2,142,75
RodMaartin,224,2.557022006514278e-05,52400,20,20,5,1,77,1
STXMAPS_NFT,225,2.556032556825058e-05,12400,20,19,1,5,3,48
0xn1ce,226,2.5549278180900348e-05,457,20,20,5,5,2,79
FuyuDeFi,227,2.554509655583513e-05,943,19,20,3,5,0,70
thecryptoomask,228,2.553066660668614e-05,8229,7,19,2,5,32,133
BikesandBitcoin,229,2.552571643365275e-05,14200,20,18,4,5,24,61
elitenftsociety,230,2.5503818456569763e-05,1243,20,19,5,5,17,21
OZ7_Blockchain,231,2.5446566570607955e-05,76400,20,18,5,5,92,48
MinoruY,232,2.5365899170973364e-05,1366,19,17,5,5,0,20
SuperchiefNFT,233,2.5361237904121025e-05,52800,19,19,5,0,66,0
ReplyGuyDeFi,234,2.535922348609081e-05,1551,20,20,4,5,17,145
FarmerBrownDeFi,235,2.5345379006029664e-05,24700,20,21,5,5,14,70
thebitsovereign,236,2.531940057592844e-05,3743,20,18,5,2,8,53
PositiveBlock,237,2.531483506314764e-05,1213,18,18,5,5,2,31
CUBlockchain,239,2.530725542085601e-05,4097,20,19,5,5,11,1
Web3Whizz_,240,2.527317322295836e-05,37900,20,20,4,5,0,33
gvizor,241,2.5231862222754985e-05,10600,19,12,5,5,2,92
mudgen,242,2.519415396285184e-05,8652,20,18,5,5,19,15
nft_yearbook,243,2.514890873185872e-05,7147,18,20,5,5,27,58
The_Bread_Bros,244,2.512946762745112e-05,3561,1,19,5,3,2,33
juliadziesinska,245,2.511495801055767e-05,36000,20,22,5,0,125,0
BitcoinMorfeo,246,2.505312508896092e-05,1555,20,19,1,5,4,127
BitcoinZilladog,247,2.503532843369184e-05,2265,20,21,5,5,1,142
blockchain_land,248,2.4893701306068272e-05,3973,1,18,1,5,4,55
CitizenBitcoin,249,2.488097602433432e-05,47700,19,18,5,5,19,120
CryptoPicsou,250,2.487828865620039e-05,167700,20,19,5,5,45,80
DuchessOfDeFi,251,2.4859614329838245e-05,15500,20,17,1,5,11,121
CaptDeFi,252,2.4855546876942228e-05,2742,16,16,5,5,1,25
